codprojeto,nomeprojeto,codcliente,codtipoprojeto,tipo_faturamento,qdadehora_cont,valorhora_cont,dataini_proj,dataterm_proj,datacad_proj,codConsultor,codstatus_proj,gpcliente_proj,gpwinnercon_proj,dataassinatura_prop,represente_prop,numproposta_prop,tipo_servidor,forma_pagamento
"13,""Implantação Strix"",460,1,HH,200,148.35,2022-01-01,2022-08-31,""2022-01-12 12:20:26"",17,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"14,""Novos Negócios"",2,3,NM,200,150.00,2022-01-01,2022-12-31,""2022-01-12 13:06:58"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"15,""Geração de Documentos Teriva"",437,3,HH,100,150.00,2021-11-01,2022-02-28,""2022-01-12 14:34:14"",15,4,NULL,NULL,NULL,NULL,NULL,,"
"16,""HH - Horas Medidas"",2,7,NM,1000,150.00,2022-01-01,2022-12-31,""2022-01-12 15:39:04"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"17,""Revitalização Ergplan"",78,3,HH,50,150.00,2021-11-10,2022-01-31,""2022-01-14 16:33:40"",389,6,NULL,NULL,NULL,NULL,NULL,,"
"18,""Implantação TF Install"",222,7,HH,112,123.67,2021-09-21,2022-01-31,""2022-01-14 16:51:17"",10,6,,,0000-00-00,,,,""Finalizado para Sanear Base do BI"""
"19,""CRM QDI"",142,7,HH,45,150.00,2021-11-05,2022-01-31,""2022-01-14 16:54:14"",15,6,,,0000-00-00,,,,""Contrato de 45 Horas, Finalizado/Paranizado"""
"20,""Contabilidade Marka"",415,3,EF,100,150.00,2021-01-01,2022-02-28,""2022-01-14 17:00:00"",389,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"21,""Contabilidade Souen"",156,3,HH,40,150.00,2021-12-01,2022-02-28,""2022-01-14 17:03:16"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"22,""Contabilidade URRE"",172,1,HH,30,150.00,2022-01-17,2022-02-28,""2022-01-14 17:06:25"",389,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"23,""Contabilidade ANL"",440,1,HH,30,143.18,2021-08-01,2022-05-30,""2022-01-14 17:41:35"",389,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"24,""Revitalização Metrocasa"",58,3,EF,504,150.00,2021-11-24,2022-02-28,""2022-01-14 17:50:54"",434,1,,,0000-00-00,,,,"
"25,""Revitalização Teixeira"",162,7,HH,40,150.00,2022-01-01,2022-02-28,""2022-01-18 14:58:02"",389,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"26,""HH - Faena"",241,7,HH,12,150.00,2021-01-01,2022-02-28,""2022-01-18 15:01:20"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"27,""HH  - Deveck"",66,7,HH,128,150.00,2021-12-01,2022-03-31,""2022-01-18 15:10:13"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"28,AUSENTE,2,1,NM,1000,150.00,2022-01-01,2022-12-31,""2022-02-04 16:52:18"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"29,""Novos Negócios"",106,6,EF,1000,150.00,2022-01-01,2022-12-31,""2022-02-04 17:25:26"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"30,""Revitalização Consitec"",44,2,HH,100,150.00,2022-02-01,2022-04-30,""2022-02-04 17:33:10"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"31,""Horas Medidas GIP"",82,7,HH,1000,150.00,2022-01-01,2022-12-31,""2022-02-07 09:25:26"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"32,""HH - Saldanha"",325,7,HH,1000,150.00,2022-01-01,2022-12-31,""2022-02-07 09:32:39"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"33,""HH - LE Mans"",474,7,HH,1000,146.63,2022-01-01,2022-12-31,""2022-02-07 09:38:17"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"34,""Horas Medidas - Toledo"",164,7,HH,1000,123.67,2022-01-01,2022-12-31,""2022-02-07 09:43:33"",3,6,,,2022-10-14,Heberth,12,,""Projeto finalizado para sanear dados na base do BI."""
"36,""HH - São Francisco"",148,7,HH,1000,150.00,2022-01-01,2022-12-31,""2022-02-07 09:52:31"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"38,""HH - Teriva"",437,3,HH,1000,150.00,2022-01-01,2022-12-31,""2022-02-07 10:00:03"",3,6,,,0000-00-00,,,,"
"39,""Treinamento Vendas"",1,7,HH,4,150.00,2022-02-14,2022-02-14,""2022-02-10 12:38:57"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"40,""Acompanhamento Globaltec"",22,7,HH,12,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"41,""HH - Arbore"",23,7,HH,12,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"42,""HH - Obras Rápidas"",253,7,HH,500,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"43,""HH - Magik"",111,3,HH,10,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",15,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"45,""HH - CIPASA"",210,7,HH,500,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",3,6,,,0000-00-00,,,,"
"46,""HH - SOUSA ARAÚJO"",61,7,EF,500,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"47,""HH - URBPLAN"",171,7,HH,500,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"49,""HH - Reinaldo"",256,7,HH,500,150.00,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"50,""HH - Medson"",240,7,HH,500,135.15,2022-01-01,2022-12-31,""0000-00-00 00:00:00"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"51,""Revitalização - Dimensão"",68,3,EF,250,112.50,2022-01-01,2022-12-31,""2022-03-10 14:56:27"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"52,""HH - Polimovi"",239,7,HH,250,150.00,2022-01-01,2022-12-31,""2022-03-10 15:30:03"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"53,""HH - Participar"",364,7,HH,250,150.00,2022-01-01,2022-12-31,""2022-03-10 15:31:08"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
"54,""HH - TOCTAO"",123,7,HH,250,150.00,2022-01-01,2022-12-31,""2022-03-10 15:41:30"",3,6,,,0000-00-00,,,,""Projeto finalizado para sanear dados na base do BI."""
