codprojeto;nomeprojeto;codcliente;codtipoprojeto;tipo_faturamento;qdadehora_cont;valorhora_cont;dataini_proj;dataterm_proj;datacad_proj;codConsultor;codstatus_proj;gpcliente_proj;gpwinnercon_proj;dataassinatura_prop;represente_prop;numproposta_prop;tipo_servidor;forma_pagamento
13;Implantação Strix;460;1;HH;200;148.35;01/01/2022;31/08/2022;12/01/2022 12:20;17;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
14;Novos Negócios;2;3;NM;200;150.00;01/01/2022;31/12/2022;12/01/2022 13:06;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
15;Geração de Documentos Teriva;437;3;HH;100;150.00;01/11/2021;28/02/2022;12/01/2022 14:34;15;4;NULL;NULL;NULL;NULL;NULL;;
16;HH - Horas Medidas;2;7;NM;1000;150.00;01/01/2022;31/12/2022;12/01/2022 15:39;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
17;Revitalização Ergplan;78;3;HH;50;150.00;10/11/2021;31/01/2022;14/01/2022 16:33;389;6;NULL;NULL;NULL;NULL;NULL;;
18;Implantação TF Install;222;7;HH;112;123.67;21/09/2021;31/01/2022;14/01/2022 16:51;10;6;;;0000-00-00;;;;Finalizado para Sanear Base do BI
19;CRM QDI;142;7;HH;45;150.00;05/11/2021;31/01/2022;14/01/2022 16:54;15;6;;;0000-00-00;;;;Contrato de 45 Horas, Finalizado/Paranizado
20;Contabilidade Marka;415;3;EF;100;150.00;01/01/2021;28/02/2022;14/01/2022 17:00;389;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
21;Contabilidade Souen;156;3;HH;40;150.00;01/12/2021;28/02/2022;14/01/2022 17:03;15;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
22;Contabilidade URRE;172;1;HH;30;150.00;17/01/2022;28/02/2022;14/01/2022 17:06;389;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
23;Contabilidade ANL;440;1;HH;30;143.18;01/08/2021;30/05/2022;14/01/2022 17:41;389;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
24;Revitalização Metrocasa;58;3;EF;504;150.00;24/11/2021;28/02/2022;14/01/2022 17:50;434;1;;;0000-00-00;;;;
25;Revitalização Teixeira;162;7;HH;40;150.00;01/01/2022;28/02/2022;18/01/2022 14:58;389;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
26;HH - Faena;241;7;HH;12;150.00;01/01/2021;28/02/2022;18/01/2022 15:01;15;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
27;HH  - Deveck;66;7;HH;128;150.00;01/12/2021;31/03/2022;18/01/2022 15:10;15;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
28;AUSENTE;2;1;NM;1000;150.00;01/01/2022;31/12/2022;04/02/2022 16:52;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
29;Novos Negócios;106;6;EF;1000;150.00;01/01/2022;31/12/2022;04/02/2022 17:25;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
30;Revitalização Consitec;44;2;HH;100;150.00;01/02/2022;30/04/2022;04/02/2022 17:33;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
31;Horas Medidas GIP;82;7;HH;1000;150.00;01/01/2022;31/12/2022;07/02/2022 09:25;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
32;HH - Saldanha;325;7;HH;1000;150.00;01/01/2022;31/12/2022;07/02/2022 09:32;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
33;HH - LE Mans;474;7;HH;1000;146.63;01/01/2022;31/12/2022;07/02/2022 09:38;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
34;Horas Medidas - Toledo;164;7;HH;1000;123.67;01/01/2022;31/12/2022;07/02/2022 09:43;3;6;;;14/10/2022;Heberth;12;;Projeto finalizado para sanear dados na base do BI.
36;HH - São Francisco;148;7;HH;1000;150.00;01/01/2022;31/12/2022;07/02/2022 09:52;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
38;HH - Teriva;437;3;HH;1000;150.00;01/01/2022;31/12/2022;07/02/2022 10:00;3;6;;;0000-00-00;;;;
39;Treinamento Vendas;1;7;HH;4;150.00;14/02/2022;14/02/2022;10/02/2022 12:38;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
40;Acompanhamento Globaltec;22;7;HH;12;150.00;01/01/2022;31/12/2022;0000-00-00 00:00:00;15;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
41;HH - Arbore;23;7;HH;12;150.00;01/01/2022;31/12/2022;0000-00-00 00:00:00;15;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
42;HH - Obras Rápidas;253;7;HH;500;150.00;01/01/2022;31/12/2022;0000-00-00 00:00:00;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
43;HH - Magik;111;3;HH;10;150.00;01/01/2022;31/12/2022;0000-00-00 00:00:00;15;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
45;HH - CIPASA;210;7;HH;500;150.00;01/01/2022;31/12/2022;0000-00-00 00:00:00;3;6;;;0000-00-00;;;;
46;HH - SOUSA ARAÚJO;61;7;EF;500;150.00;01/01/2022;31/12/2022;0000-00-00 00:00:00;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
47;HH - URBPLAN;171;7;HH;500;150.00;01/01/2022;31/12/2022;0000-00-00 00:00:00;3;6;;;0000-00-00;;;;Projeto finalizado para sanear dados na base do BI.
