id_subitem;codprojeto;codmac_proc;cod_proc;codconsultor;data_subitem;horaent_am;horasai_am;horaent_pm;horasai_pm;tipo
61;217;1;01.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62;217;1;01.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
66;217;4;04.01;1;16/12/2022;11:00:00;12:00:00;00:00:00;00:00:00;PRESENCIAL
69;217;7;07.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
70;217;7;07.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71;217;7;07.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
80;217;11;11.04;NULL;NULL;NULL;NULL;NULL;NULL;NULL
82;217;12;12.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
90;217;6;06.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
94;217;7;07.04;NULL;NULL;NULL;NULL;NULL;NULL;NULL
95;217;7;07.05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
106;217;16;16.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
107;217;16;16.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
110;217;2;02.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
111;217;2;02.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
112;217;2;02.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
114;217;4;04.02;1;16/12/2022;11:00:00;12:00:00;00:00:00;00:00:00;PRESENCIAL
121;217;10;10.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
122;217;10;10.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
123;217;10;10.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
124;217;11;11.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
125;217;11;11.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
126;217;11;11.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
128;217;11;11.05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
132;217;16;16.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
133;226;1;01.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
134;226;1;01.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
135;226;2;02.01;1;02/12/2022;09:00:00;10:00:00;00:00:00;00:00:00;REMOTO
136;226;2;02.02;1;02/12/2022;10:01:00;11:00:00;00:00:00;00:00:00;REMOTO
137;226;2;02.03;1;02/12/2022;11:01:00;12:00:00;00:00:00;00:00:00;REMOTO
138;226;3;03.01;10;02/12/2022;09:00:00;10:00:00;00:00:00;00:00:00;PRESENCIAL
139;226;3;03.02;10;02/12/2022;09:00:00;10:00:00;00:00:00;00:00:00;PRESENCIAL
140;226;3;03.03;10;02/12/2022;09:00:00;10:00:00;00:00:00;00:00:00;PRESENCIAL
141;226;4;04.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
142;226;4;04.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
143;226;6;06.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
144;226;7;07.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
145;226;7;07.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
146;226;7;07.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
147;226;7;07.04;NULL;NULL;NULL;NULL;NULL;NULL;NULL
148;226;7;07.05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
149;226;10;10.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
150;226;10;10.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
151;226;10;10.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
152;226;11;11.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
153;226;11;11.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
154;226;11;11.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
155;226;11;11.04;NULL;NULL;NULL;NULL;NULL;NULL;NULL
156;226;11;11.05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
157;226;12;12.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
158;231;1;01.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
159;231;1;01.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
160;231;2;02.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
161;231;2;02.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
162;231;2;02.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
163;231;3;03.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
164;231;3;03.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
165;231;3;03.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
166;231;4;04.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
167;231;4;04.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
168;231;6;06.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
169;231;7;07.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
170;231;7;07.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
171;231;7;07.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
172;231;7;07.04;NULL;NULL;NULL;NULL;NULL;NULL;NULL
173;231;7;07.05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
174;231;8;08.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
175;231;8;08.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
176;231;10;10.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
177;231;10;10.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
178;231;10;10.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
179;231;11;11.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
180;231;11;11.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
181;231;11;11.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
182;231;11;11.04;NULL;NULL;NULL;NULL;NULL;NULL;NULL
183;231;11;11.05;NULL;NULL;NULL;NULL;NULL;NULL;NULL
184;231;12;12.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
185;231;13;13.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
186;231;16;16.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
187;231;16;16.02;NULL;NULL;NULL;NULL;NULL;NULL;NULL
188;231;16;16.03;NULL;NULL;NULL;NULL;NULL;NULL;NULL
189;228;6;06.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
190;228;7;07.01;NULL;NULL;NULL;NULL;NULL;NULL;NULL
